,ts_code,symbol,name
178,000600.SZ,000600,建投能源
179,000601.SZ,000601,韶能股份
180,000603.SZ,000603,盛达矿业
181,000605.SZ,000605,渤海股份
182,000606.SZ,000606,顺利办
183,000607.SZ,000607,华媒控股
184,000608.SZ,000608,阳光股份
185,000609.SZ,000609,中迪投资
186,000610.SZ,000610,西安旅游
187,000611.SZ,000611,*ST天首
188,000612.SZ,000612,焦作万方
189,000613.SZ,000613,大东海A
190,000615.SZ,000615,京汉股份
191,000616.SZ,000616,海航投资
192,000617.SZ,000617,中油资本
193,000619.SZ,000619,海螺型材
194,000620.SZ,000620,新华联
195,000622.SZ,000622,恒立实业
196,000623.SZ,000623,吉林敖东
197,000625.SZ,000625,长安汽车
198,000626.SZ,000626,远大控股
199,000627.SZ,000627,天茂集团
200,000628.SZ,000628,高新发展
201,000629.SZ,000629,攀钢钒钛
202,000630.SZ,000630,铜陵有色
203,000631.SZ,000631,顺发恒业
204,000632.SZ,000632,三木集团
205,000633.SZ,000633,合金投资
206,000635.SZ,000635,英力特
207,000636.SZ,000636,风华高科
208,000637.SZ,000637,茂化实华
209,000638.SZ,000638,万方发展
210,000639.SZ,000639,西王食品
211,000650.SZ,000650,仁和药业
212,000651.SZ,000651,格力电器
213,000652.SZ,000652,泰达股份
214,000655.SZ,000655,金岭矿业
215,000656.SZ,000656,金科股份
216,000657.SZ,000657,中钨高新
217,000659.SZ,000659,珠海中富
218,000661.SZ,000661,长春高新
219,000662.SZ,000662,天夏智慧
220,000663.SZ,000663,永安林业
221,000665.SZ,000665,湖北广电
222,000666.SZ,000666,经纬纺机
223,000667.SZ,000667,美好置业
224,000668.SZ,000668,荣丰控股
225,000669.SZ,000669,金鸿控股
226,000670.SZ,000670,*ST盈方
227,000671.SZ,000671,阳光城
228,000672.SZ,000672,上峰水泥
229,000673.SZ,000673,当代东方
230,000676.SZ,000676,智度股份
231,000677.SZ,000677,恒天海龙
232,000678.SZ,000678,襄阳轴承
233,000679.SZ,000679,大连友谊
234,000680.SZ,000680,山推股份
235,000681.SZ,000681,视觉中国
236,000682.SZ,000682,东方电子
237,000683.SZ,000683,远兴能源
238,000685.SZ,000685,中山公用
239,000686.SZ,000686,东北证券
240,000687.SZ,000687,华讯方舟
241,000688.SZ,000688,国城矿业
242,000690.SZ,000690,宝新能源
243,000691.SZ,000691,亚太实业
244,000692.SZ,000692,惠天热电
245,000695.SZ,000695,滨海能源
246,000697.SZ,000697,炼石航空
247,000698.SZ,000698,沈阳化工
248,000700.SZ,000700,模塑科技
249,000701.SZ,000701,厦门信达
250,000702.SZ,000702,正虹科技
251,000703.SZ,000703,恒逸石化
252,000705.SZ,000705,浙江震元
253,000707.SZ,000707,ST双环
254,000708.SZ,000708,大冶特钢
255,000709.SZ,000709,河钢股份
256,000710.SZ,000710,贝瑞基因
257,000711.SZ,000711,京蓝科技
258,000712.SZ,000712,锦龙股份
259,000713.SZ,000713,丰乐种业
260,000715.SZ,000715,中兴商业
261,000716.SZ,000716,黑芝麻
262,000717.SZ,000717,韶钢松山
263,000718.SZ,000718,苏宁环球
264,000719.SZ,000719,中原传媒
265,000720.SZ,000720,新能泰山
266,000721.SZ,000721,西安饮食
267,000722.SZ,000722,湖南发展
268,000723.SZ,000723,美锦能源
269,000725.SZ,000725,京东方A
270,000726.SZ,000726,鲁泰A
271,000727.SZ,000727,华东科技
272,000728.SZ,000728,国元证券
273,000729.SZ,000729,燕京啤酒
274,000731.SZ,000731,四川美丰
275,000732.SZ,000732,泰禾集团
276,000733.SZ,000733,振华科技
277,000735.SZ,000735,罗牛山
278,000736.SZ,000736,中交地产
279,000737.SZ,000737,ST南风
280,000738.SZ,000738,航发控制
281,000739.SZ,000739,普洛药业
282,000750.SZ,000750,国海证券
283,000751.SZ,000751,锌业股份
284,000752.SZ,000752,*ST西发
285,000753.SZ,000753,漳州发展
286,000755.SZ,000755,山西路桥
287,000756.SZ,000756,新华制药
288,000757.SZ,000757,浩物股份
289,000758.SZ,000758,中色股份
290,000759.SZ,000759,中百集团
291,000760.SZ,000760,*ST斯太
292,000761.SZ,000761,本钢板材
293,000762.SZ,000762,西藏矿业
294,000766.SZ,000766,通化金马
295,000767.SZ,000767,漳泽电力
296,000768.SZ,000768,中航飞机
297,000776.SZ,000776,广发证券
298,000777.SZ,000777,中核科技
299,000778.SZ,000778,新兴铸管
300,000779.SZ,000779,三毛派神
301,000780.SZ,000780,平庄能源
302,000782.SZ,000782,美达股份
303,000783.SZ,000783,长江证券
304,000785.SZ,000785,武汉中商
305,000786.SZ,000786,北新建材
306,000788.SZ,000788,北大医药
307,000789.SZ,000789,万年青
308,000790.SZ,000790,泰合健康
309,000791.SZ,000791,甘肃电投
310,000792.SZ,000792,*ST盐湖
311,000793.SZ,000793,华闻传媒
312,000795.SZ,000795,英洛华
313,000796.SZ,000796,凯撒旅游
314,000797.SZ,000797,中国武夷
315,000798.SZ,000798,中水渔业
316,000799.SZ,000799,酒鬼酒
317,000800.SZ,000800,一汽轿车
318,000801.SZ,000801,四川九洲
319,000802.SZ,000802,北京文化
320,000803.SZ,000803,金宇车城
321,000806.SZ,000806,ST银河
322,000807.SZ,000807,云铝股份
323,000809.SZ,000809,铁岭新城
324,000810.SZ,000810,创维数字
325,000811.SZ,000811,冰轮环境
326,000812.SZ,000812,陕西金叶
327,000813.SZ,000813,德展健康
328,000815.SZ,000815,美利云
329,000816.SZ,000816,*ST慧业
330,000818.SZ,000818,航锦科技
331,000819.SZ,000819,岳阳兴长
332,000820.SZ,000820,*ST节能
333,000821.SZ,000821,京山轻机
334,000822.SZ,000822,山东海化
335,000823.SZ,000823,超声电子
336,000825.SZ,000825,太钢不锈
337,000826.SZ,000826,启迪桑德
338,000828.SZ,000828,东莞控股
339,000829.SZ,000829,天音控股
340,000830.SZ,000830,鲁西化工
341,000831.SZ,000831,五矿稀土
342,000833.SZ,000833,粤桂股份
343,000835.SZ,000835,长城动漫
344,000836.SZ,000836,富通鑫茂
345,000837.SZ,000837,秦川机床
346,000838.SZ,000838,财信发展
347,000839.SZ,000839,中信国安
348,000848.SZ,000848,承德露露
349,000850.SZ,000850,华茂股份
350,000851.SZ,000851,高鸿股份
351,000852.SZ,000852,石化机械
352,000856.SZ,000856,冀东装备
353,000858.SZ,000858,五粮液
354,000859.SZ,000859,国风塑业
355,000860.SZ,000860,顺鑫农业
356,000861.SZ,000861,海印股份
357,000862.SZ,000862,银星能源
358,000863.SZ,000863,三湘印象
359,000868.SZ,000868,*ST安凯
360,000869.SZ,000869,张裕A
361,000875.SZ,000875,吉电股份
362,000876.SZ,000876,新希望
363,000877.SZ,000877,天山股份
364,000878.SZ,000878,云南铜业
365,000880.SZ,000880,潍柴重机
366,000881.SZ,000881,中广核技
367,000882.SZ,000882,华联股份
368,000883.SZ,000883,湖北能源
369,000885.SZ,000885,城发环境
370,000886.SZ,000886,海南高速
371,000887.SZ,000887,中鼎股份
372,000888.SZ,000888,峨眉山A
373,000889.SZ,000889,中嘉博创
374,000890.SZ,000890,法尔胜
375,000892.SZ,000892,欢瑞世纪
376,000893.SZ,000893,*ST东凌
377,000895.SZ,000895,双汇发展
378,000897.SZ,000897,*ST津滨
379,000898.SZ,000898,鞍钢股份
380,000899.SZ,000899,赣能股份
381,000900.SZ,000900,现代投资
382,000901.SZ,000901,航天科技
383,000902.SZ,000902,新洋丰
384,000903.SZ,000903,云内动力
385,000905.SZ,000905,厦门港务
386,000906.SZ,000906,浙商中拓
387,000908.SZ,000908,景峰医药
388,000909.SZ,000909,数源科技
389,000910.SZ,000910,大亚圣象
390,000911.SZ,000911,*ST南糖
391,000912.SZ,000912,泸天化
392,000913.SZ,000913,钱江摩托
393,000915.SZ,000915,山大华特
394,000917.SZ,000917,电广传媒
395,000918.SZ,000918,嘉凯城
396,000919.SZ,000919,金陵药业
397,000920.SZ,000920,南方汇通
398,000921.SZ,000921,海信家电
399,000922.SZ,000922,佳电股份
400,000923.SZ,000923,河北宣工
401,000925.SZ,000925,众合科技
402,000926.SZ,000926,福星股份
403,000927.SZ,000927,一汽夏利
404,000928.SZ,000928,中钢国际
405,000929.SZ,000929,兰州黄河
406,000930.SZ,000930,中粮生化
407,000931.SZ,000931,中关村
408,000932.SZ,000932,华菱钢铁
409,000933.SZ,000933,神火股份
410,000935.SZ,000935,四川双马
411,000936.SZ,000936,华西股份
412,000937.SZ,000937,冀中能源
413,000938.SZ,000938,紫光股份
414,000948.SZ,000948,南天信息
415,000949.SZ,000949,新乡化纤
416,000950.SZ,000950,重药控股
417,000951.SZ,000951,中国重汽
418,000952.SZ,000952,广济药业
419,000953.SZ,000953,*ST河化
420,000955.SZ,000955,欣龙控股
421,000957.SZ,000957,中通客车
422,000958.SZ,000958,东方能源
423,000959.SZ,000959,首钢股份
424,000960.SZ,000960,锡业股份
425,000961.SZ,000961,中南建设
426,000962.SZ,000962,东方钽业
427,000963.SZ,000963,华东医药
428,000965.SZ,000965,天保基建
429,000966.SZ,000966,长源电力
430,000967.SZ,000967,盈峰环境
431,000968.SZ,000968,蓝焰控股
432,000969.SZ,000969,安泰科技
433,000970.SZ,000970,中科三环
434,000971.SZ,000971,*ST高升
435,000972.SZ,000972,ST中基
436,000973.SZ,000973,佛塑科技
437,000975.SZ,000975,银泰资源
438,000976.SZ,000976,华铁股份
439,000977.SZ,000977,浪潮信息
440,000978.SZ,000978,桂林旅游
441,000980.SZ,000980,众泰汽车
442,000981.SZ,000981,ST银亿
443,000982.SZ,000982,*ST中绒
444,000983.SZ,000983,西山煤电
445,000985.SZ,000985,大庆华科
446,000987.SZ,000987,越秀金控
447,000988.SZ,000988,华工科技
448,000989.SZ,000989,九芝堂
449,000990.SZ,000990,诚志股份
450,000993.SZ,000993,闽东电力
451,000996.SZ,000996,中国中期
452,000997.SZ,000997,新大陆
453,000998.SZ,000998,隆平高科
454,000999.SZ,000999,华润三九
455,001696.SZ,001696,宗申动力
456,001872.SZ,001872,招商港口
457,001896.SZ,001896,豫能控股
458,001965.SZ,001965,招商公路
459,001979.SZ,001979,招商蛇口
460,002001.SZ,002001,新和成
461,002002.SZ,002002,鸿达兴业
462,002003.SZ,002003,伟星股份
463,002004.SZ,002004,华邦健康
464,002005.SZ,002005,*ST德豪
465,002006.SZ,002006,精功科技
466,002007.SZ,002007,华兰生物
467,002008.SZ,002008,大族激光
468,002009.SZ,002009,天奇股份
469,002010.SZ,002010,传化智联
470,002011.SZ,002011,盾安环境
471,002012.SZ,002012,凯恩股份
472,002013.SZ,002013,中航机电
473,002014.SZ,002014,永新股份
474,002015.SZ,002015,霞客环保
475,002016.SZ,002016,世荣兆业
